vehicle_age,mileage,vehicle_type,engine_type,engine_temperature,rpm,engine_load,battery_voltage,oil_condition,brake_wear,tyre_pressure,service_count,distance_since_service,average_speed,hard_braking_events,hard_acceleration_events,driving_hours,overall_health_score,engine_failure,battery_failure,brake_failure,tyre_failure,maintenance_distance
2.9,60681.0,Sedan,Hybrid,90.4,2060.0,43.2,12.62,63.0,26.0,25.6,6,5840.0,72.6,2,1,1.9,61.5,0,0,0,0,3694.0
8.7,135753.0,SUV,Diesel,82.9,3098.0,51.0,12.69,76.0,31.9,35.1,10,2569.0,93.9,6,6,5.3,71.3,0,1,0,0,6902.0
5.4,59150.0,Sedan,Petrol,84.6,2639.0,39.6,12.3,95.9,30.1,31.1,4,1000.0,45.3,2,1,1.3,78.0,0,0,0,0,8678.0
3.9,61298.0,Hatchback,Diesel,93.7,2544.0,50.8,12.37,90.8,22.5,31.8,4,1599.0,43.2,3,4,5.4,85.1,0,0,0,0,8964.0
4.5,57056.0,Sedan,Diesel,95.1,2190.0,34.8,11.41,59.9,33.8,28.4,4,8382.0,33.1,6,4,2.3,40.8,0,1,0,0,1464.0
1.9,38671.0,Truck,Diesel,95.8,2559.0,77.0,11.8,89.2,70.1,35.1,4,2003.0,40.5,3,1,6.6,50.7,0,0,1,0,2235.0
5.6,90543.0,Sedan,Diesel,86.1,2706.0,32.7,12.47,85.9,21.2,32.1,7,3694.0,30.6,3,2,1.5,79.4,0,0,0,0,6608.0
2.0,34184.0,SUV,Diesel,100.7,1877.0,54.4,12.53,100.0,63.1,28.1,1,504.0,33.7,2,1,1.5,56.0,1,0,0,1,3069.0
2.7,45750.0,SUV,Petrol,95.5,2861.0,76.6,11.64,89.1,41.5,31.7,5,1613.0,52.0,13,10,3.3,59.2,0,0,0,1,5233.0
3.6,51121.0,Sedan,Diesel,89.2,2881.0,70.6,12.44,42.7,60.3,31.2,5,11416.0,29.9,21,19,1.7,53.0,0,0,1,0,296.0
9.9,181756.0,Coupe,Petrol,92.2,2368.0,46.8,12.47,61.1,20.8,33.6,17,5259.0,31.4,5,4,9.1,75.8,0,0,0,0,4837.0
4.3,49977.0,Truck,Hybrid,84.7,2570.0,59.2,12.47,93.5,33.5,32.4,7,1069.0,54.9,6,5,1.9,81.6,0,0,0,0,8877.0
2.1,30896.0,Hatchback,Petrol,89.0,3109.0,40.4,12.27,92.4,47.7,32.4,2,962.0,43.4,0,2,1.6,77.1,0,0,0,0,6643.0
4.5,90648.0,Hatchback,Petrol,106.2,2589.0,56.7,11.48,5.0,10.8,30.5,9,16885.0,57.0,2,3,4.2,12.7,1,1,0,0,150.0
5.2,57259.0,SUV,Petrol,91.8,2531.0,65.1,11.39,74.1,36.9,32.1,4,3420.0,47.2,4,2,1.0,52.3,0,1,0,0,4369.0
7.2,108322.0,Hatchback,Diesel,98.5,2480.0,51.9,11.93,36.0,28.2,32.0,9,9860.0,49.4,1,1,9.4,43.1,0,1,0,0,1053.0
3.7,49944.0,Sedan,Petrol,102.9,2377.0,60.0,12.57,69.0,15.7,28.3,3,4130.0,62.9,2,3,4.8,62.2,0,0,0,1,5318.0
2.3,23921.0,Sedan,Petrol,91.0,2517.0,45.9,12.69,91.6,40.4,31.8,2,1260.0,44.3,1,3,3.8,82.6,0,0,0,0,7816.0
11.4,99524.0,Sedan,Diesel,87.0,2355.0,36.3,11.25,58.6,21.1,31.3,10,5243.0,61.9,3,4,1.8,43.2,0,1,0,1,3104.0
4.5,46835.0,Sedan,Petrol,97.6,2894.0,43.8,12.49,91.3,7.8,38.4,6,1080.0,46.1,1,2,2.9,72.2,0,0,0,1,7746.0
2.1,32188.0,SUV,Electric,55.9,2647.0,55.1,11.43,100.0,69.6,27.5,3,13325.0,40.5,3,3,2.0,36.2,0,1,1,0,209.0
3.7,57477.0,Sedan,Electric,64.9,2370.0,40.5,11.95,100.0,30.3,31.9,4,728.0,37.0,6,6,2.3,71.8,0,0,0,0,8087.0
2.7,33886.0,Hatchback,Diesel,91.0,2194.0,34.7,12.08,58.1,45.2,32.2,4,8227.0,28.8,2,2,5.7,58.5,0,0,1,0,2099.0
7.5,152773.0,SUV,Petrol,107.8,2562.0,60.2,12.69,5.0,35.7,27.0,14,24000.0,34.6,1,2,4.0,8.0,1,1,0,1,150.0
5.2,89286.0,Sedan,Diesel,96.3,2240.0,46.5,12.09,14.2,81.2,28.8,8,14502.0,27.2,6,1,2.4,19.0,1,0,1,0,150.0
3.1,54653.0,SUV,Petrol,92.2,2114.0,48.4,13.05,6.3,36.5,30.0,4,15794.0,38.1,6,6,1.0,45.9,1,0,0,0,211.0
6.6,85576.0,Sedan,Diesel,92.5,2739.0,44.2,11.24,81.5,64.5,32.9,6,2318.0,63.5,3,3,10.0,41.1,0,1,1,0,2365.0
3.5,48007.0,Hatchback,Petrol,93.8,2874.0,60.7,12.57,74.8,10.2,36.0,4,4497.0,51.9,4,4,1.4,75.3,0,0,0,1,5749.0
3.6,63857.0,Sedan,Electric,75.3,1821.0,29.8,12.44,100.0,34.1,36.1,6,2111.0,46.6,2,1,5.7,79.6,0,0,1,0,7833.0
2.3,40595.0,Coupe,Petrol,99.5,2432.0,56.0,11.82,55.6,73.3,33.0,3,7981.0,42.3,5,2,1.9,40.1,0,0,1,0,1465.0
2.3,41271.0,Truck,Diesel,97.8,2292.0,43.1,12.64,65.7,75.0,32.9,4,7327.0,50.9,3,2,3.6,60.5,0,0,1,0,2573.0
11.0,142212.0,Sedan,Diesel,91.4,2836.0,43.9,10.8,67.4,15.7,37.8,12,2685.0,52.4,1,2,1.6,32.1,1,1,0,1,2898.0
6.4,70806.0,Sedan,Diesel,90.3,2259.0,19.0,12.23,59.4,51.2,32.2,8,3826.0,36.4,3,3,1.9,61.1,0,1,0,1,5075.0
0.9,7978.0,Hatchback,Petrol,94.1,2633.0,50.5,12.53,76.4,18.9,29.9,2,3512.0,58.5,5,6,1.8,76.3,0,1,0,0,6315.0
2.0,31330.0,Truck,Electric,65.3,2621.0,50.2,12.1,100.0,63.2,31.7,5,8173.0,47.4,4,1,3.4,60.6,0,0,1,0,2473.0
1.7,22994.0,Truck,Diesel,98.5,2475.0,35.1,12.26,92.5,54.8,34.6,1,523.0,56.2,5,5,1.8,70.2,0,0,0,1,5293.0
3.9,65155.0,Truck,Diesel,94.1,2440.0,46.3,12.82,5.0,38.2,26.7,6,17262.0,51.6,0,0,3.3,34.6,1,0,0,0,150.0
2.9,38903.0,Sedan,Petrol,92.0,2435.0,62.4,11.96,100.0,58.8,34.4,3,1389.0,32.1,2,4,7.2,65.9,0,0,0,0,4356.0
8.3,119954.0,SUV,Diesel,92.0,2774.0,62.0,12.4,76.8,60.5,29.0,10,2860.0,70.2,2,4,1.3,63.5,1,1,0,0,4227.0
3.0,56954.0,Sedan,Petrol,84.0,2501.0,46.6,12.29,78.5,34.4,33.3,4,713.0,51.8,8,9,1.3,79.3,0,0,0,0,8263.0
10.4,188079.0,Hatchback,Petrol,89.8,2280.0,46.8,12.45,58.9,19.5,38.3,15,4159.0,46.9,1,3,8.2,64.3,1,1,0,1,4888.0
3.5,55473.0,SUV,Petrol,92.9,2760.0,68.9,12.65,53.2,36.4,32.3,4,9093.0,60.2,5,6,4.8,65.6,0,0,0,0,2062.0
11.6,124866.0,Sedan,Hybrid,82.5,1846.0,57.9,11.8,40.7,49.2,31.7,12,10373.0,35.8,1,2,3.2,38.4,0,1,0,0,719.0
3.3,48144.0,Sedan,Petrol,92.2,2316.0,36.9,12.65,79.4,10.3,29.4,4,3319.0,30.0,2,3,1.0,80.6,0,0,0,0,6724.0
3.3,31265.0,Sedan,Petrol,88.3,2542.0,46.7,12.21,77.7,56.2,28.3,3,3528.0,59.8,1,2,1.0,57.8,0,0,0,0,4119.0
6.4,73798.0,Sedan,Diesel,97.8,2760.0,43.7,12.87,82.8,47.2,30.5,4,3098.0,68.1,2,0,1.6,64.2,0,0,0,0,5610.0
5.8,90817.0,Truck,Hybrid,102.9,2904.0,58.1,12.34,92.7,26.3,35.3,7,2013.0,56.0,6,6,3.5,63.7,0,0,1,1,6639.0
1.5,15770.0,SUV,Petrol,90.4,2414.0,52.2,12.37,39.4,48.5,33.3,2,8549.0,63.3,4,3,6.0,60.9,0,0,0,0,2138.0
3.9,46506.0,Hatchback,Diesel,91.0,2127.0,58.0,12.23,10.9,5.0,31.4,3,14962.0,34.3,2,1,3.4,53.5,0,0,0,1,154.0
2.8,30063.0,SUV,Petrol,91.5,2312.0,58.4,12.3,73.3,66.7,36.9,2,3792.0,47.0,5,4,3.5,55.7,0,0,0,0,3258.0
2.7,39004.0,Sedan,Petrol,94.7,2362.0,26.6,12.33,48.0,59.6,33.0,4,8684.0,42.8,2,4,6.5,60.3,0,1,0,0,1965.0
3.9,56636.0,Truck,Petrol,90.1,2759.0,21.1,12.63,75.3,31.8,30.2,5,4764.0,66.4,5,5,4.2,68.5,0,0,0,0,4990.0
3.1,15216.0,Truck,Hybrid,91.6,3057.0,68.3,11.58,83.7,38.5,31.7,2,1292.0,58.9,3,6,2.1,59.8,0,1,0,0,5703.0
4.2,82973.0,SUV,Petrol,94.7,2448.0,46.8,10.98,57.3,68.2,31.1,7,5061.0,66.4,1,0,3.0,25.9,0,1,1,0,1297.0
1.9,35839.0,Truck,Petrol,91.5,2811.0,55.0,12.84,79.2,68.4,27.1,4,2420.0,43.3,7,6,6.1,51.9,0,0,1,1,2565.0
1.2,11067.0,SUV,Petrol,94.1,2299.0,56.9,12.97,56.8,20.1,27.4,1,7591.0,36.2,2,0,3.8,62.6,0,0,0,1,2694.0
6.5,110819.0,SUV,Hybrid,89.7,2994.0,81.5,12.0,72.8,39.0,32.1,10,4276.0,70.6,1,0,8.6,67.9,0,1,0,0,5172.0
7.1,130868.0,SUV,Petrol,92.9,2745.0,75.4,12.14,49.6,86.8,29.2,12,7749.0,52.4,7,9,1.8,37.5,0,1,1,1,678.0
6.3,80419.0,Sedan,Petrol,96.7,2489.0,36.9,12.71,77.2,55.3,32.4,7,4666.0,66.9,2,2,1.4,64.6,1,0,0,1,4830.0
3.8,55726.0,Sedan,Petrol,93.9,2584.0,49.2,12.55,59.0,23.7,29.8,5,9709.0,51.1,0,3,4.0,67.9,0,0,0,0,1532.0
3.0,40578.0,Sedan,Petrol,84.0,2528.0,33.2,12.98,5.0,62.8,27.5,2,24000.0,82.9,2,3,3.3,25.8,1,1,0,1,150.0
2.5,44576.0,SUV,Diesel,93.7,2931.0,66.1,12.69,31.7,93.7,31.9,4,13192.0,68.5,9,6,1.3,43.1,1,0,1,1,150.0
2.2,36699.0,Sedan,Diesel,86.9,2584.0,28.9,12.62,55.3,60.4,30.2,3,8384.0,49.8,3,1,2.0,57.4,0,0,0,0,2444.0
3.5,30789.0,SUV,Petrol,87.8,2792.0,55.8,12.27,85.0,63.1,29.8,2,2230.0,52.3,2,2,7.2,61.0,0,0,0,0,3781.0
7.0,78512.0,Hatchback,Petrol,93.5,2664.0,43.0,11.9,60.9,49.7,32.8,7,5881.0,52.3,2,3,4.3,56.7,0,0,0,0,3087.0
2.4,43492.0,Sedan,Petrol,110.8,2287.0,27.0,12.02,62.8,68.2,34.8,4,6923.0,36.1,1,2,2.1,21.6,1,0,1,1,1091.0
7.0,111602.0,SUV,Petrol,87.1,3009.0,48.1,11.55,43.7,53.1,28.4,11,8970.0,45.3,4,4,1.5,28.1,0,1,0,0,567.0
1.3,19376.0,Truck,Petrol,91.5,2418.0,27.5,12.37,88.1,44.1,31.4,2,1799.0,44.2,4,2,2.4,77.2,0,0,0,0,6968.0
4.3,62442.0,Sedan,Hybrid,89.0,2379.0,36.6,10.98,64.3,39.4,29.2,6,5129.0,55.3,4,4,5.9,30.9,0,1,0,0,2276.0
4.8,50091.0,Sedan,Electric,54.1,2414.0,53.8,12.3,100.0,20.3,29.6,4,4435.0,40.6,4,3,3.3,75.2,0,0,0,1,5673.0
2.7,50929.0,Sedan,Electric,66.1,2153.0,63.6,11.85,100.0,21.3,28.0,6,2381.0,49.9,3,2,3.0,67.0,0,0,0,0,6715.0
1.8,11988.0,Sedan,Hybrid,95.4,2144.0,57.5,12.96,68.5,25.5,31.6,1,5433.0,46.9,2,2,6.1,71.2,0,0,0,0,4823.0
6.0,75088.0,Hatchback,Diesel,95.1,2678.0,36.6,12.01,14.2,57.4,31.0,6,15984.0,53.1,3,4,1.3,30.4,1,0,0,0,150.0
3.8,57515.0,Hatchback,Diesel,87.9,2475.0,40.3,13.18,47.6,26.0,33.3,6,9926.0,72.6,2,3,1.7,66.6,0,0,0,0,1494.0
13.6,212186.0,SUV,Petrol,115.5,2768.0,56.7,11.14,52.3,61.7,29.9,17,5705.0,67.3,6,7,3.5,8.0,1,1,0,0,385.0
7.0,93303.0,Hatchback,Diesel,89.5,2182.0,40.3,12.79,38.0,10.6,31.7,9,8904.0,33.7,7,6,3.0,66.6,0,1,0,1,2173.0
7.1,115868.0,Hatchback,Diesel,86.4,2631.0,52.9,11.63,32.8,56.5,26.5,12,10510.0,51.3,8,4,2.5,21.4,1,1,0,1,418.0
0.5,10403.0,Sedan,Diesel,88.5,2691.0,40.2,11.66,43.8,45.7,31.1,1,8743.0,47.8,11,11,6.2,46.6,0,1,0,0,1323.0
2.4,26442.0,Hatchback,Hybrid,97.8,2583.0,57.8,12.31,33.5,38.1,21.6,4,13209.0,42.9,3,3,1.0,30.5,1,0,0,1,150.0
1.7,29406.0,SUV,Petrol,87.3,2898.0,53.7,11.36,30.0,58.5,30.7,3,10153.0,82.1,2,0,1.4,28.2,0,1,0,1,556.0
0.8,6832.0,Hatchback,Petrol,85.6,2099.0,25.6,12.73,35.3,20.0,28.6,1,11832.0,44.6,2,2,1.4,66.9,0,0,0,0,150.0
3.6,42043.0,Hatchback,Electric,61.8,2667.0,38.4,12.93,100.0,57.8,29.5,2,5159.0,45.6,1,2,4.6,70.5,0,0,0,0,4589.0
5.9,48459.0,Sedan,Petrol,92.7,2811.0,46.1,12.19,68.4,15.2,35.8,2,4945.0,76.6,5,3,2.3,70.4,0,1,0,0,4964.0
1.9,19117.0,Sedan,Diesel,84.7,2416.0,52.1,12.32,86.3,36.5,30.8,1,3282.0,65.6,3,3,10.0,72.4,0,0,0,0,6258.0
0.8,9935.0,Sedan,Electric,54.6,2623.0,50.3,12.44,100.0,17.0,31.2,1,4818.0,45.8,4,4,6.4,84.5,0,0,0,0,6026.0
2.0,35043.0,SUV,Diesel,89.1,3036.0,49.0,12.59,43.5,71.2,27.1,2,8164.0,62.6,2,1,2.3,46.1,0,0,1,1,1597.0
3.4,45025.0,Hatchback,Diesel,109.1,2379.0,32.6,11.97,89.8,7.4,30.9,3,2822.0,48.6,3,1,4.5,51.1,0,1,0,1,4761.0
3.2,35418.0,Hatchback,Petrol,84.3,2118.0,61.2,11.78,80.6,57.3,31.3,2,2042.0,49.6,3,3,4.4,60.1,0,0,0,0,4079.0
3.8,36533.0,Sedan,Petrol,88.3,2609.0,39.9,12.5,12.0,49.4,30.5,3,14238.0,40.7,2,2,7.6,41.7,1,0,0,0,411.0
4.8,33705.0,SUV,Hybrid,90.9,2674.0,41.6,11.87,95.7,70.7,37.6,2,580.0,25.0,5,4,2.6,48.4,0,0,0,1,2226.0
3.7,50772.0,SUV,Diesel,95.5,2005.0,46.6,12.79,5.0,18.1,29.7,4,18137.0,32.1,2,2,2.1,39.7,1,0,0,0,150.0
6.1,142948.0,Sedan,Diesel,91.1,2264.0,18.5,11.51,28.4,27.9,32.8,13,12753.0,36.5,5,5,4.2,42.6,1,1,1,0,150.0
2.0,29734.0,Sedan,Petrol,90.2,2729.0,22.5,12.19,47.2,62.1,34.3,4,7387.0,57.9,8,5,2.6,54.8,0,0,1,0,2556.0
3.1,33859.0,Sedan,Petrol,93.8,2101.0,34.0,11.94,43.6,51.6,29.3,1,9668.0,54.1,4,3,4.9,44.3,0,0,0,1,1294.0
5.2,64160.0,Hatchback,Electric,67.6,3217.0,30.1,12.09,100.0,29.1,34.7,5,6352.0,67.2,3,2,7.1,70.6,0,1,0,0,4005.0
4.4,50908.0,Sedan,Petrol,85.5,2390.0,33.0,12.05,70.1,23.6,31.2,4,5931.0,35.2,7,4,1.6,60.9,0,0,0,0,3702.0
9.7,175460.0,SUV,Diesel,111.4,2734.0,61.2,11.53,54.1,75.9,27.7,13,7202.0,77.0,2,0,1.9,8.0,1,1,1,0,352.0
2.0,42486.0,Truck,Petrol,89.2,3068.0,67.3,13.45,87.9,81.9,32.4,3,435.0,75.7,3,6,6.7,67.1,0,0,1,0,1706.0
5.3,78932.0,SUV,Diesel,90.9,2410.0,38.8,11.89,36.9,55.7,27.9,6,12092.0,52.5,2,1,3.1,29.2,0,1,0,0,150.0
2.5,40976.0,Coupe,Electric,55.0,2360.0,63.9,12.2,100.0,66.4,31.8,4,11412.0,42.4,4,4,3.2,61.1,0,0,1,0,224.0
2.3,36212.0,Coupe,Diesel,88.3,2307.0,43.2,12.4,70.6,69.2,30.6,2,4730.0,43.1,10,5,6.0,58.9,0,0,1,1,2788.0
6.8,92329.0,Sedan,Petrol,116.1,2298.0,40.5,11.88,82.8,15.0,33.7,7,2158.0,54.8,3,3,2.9,36.4,1,1,0,0,3759.0
3.7,58390.0,SUV,Diesel,91.3,2977.0,44.9,12.59,83.6,39.8,33.1,6,3045.0,78.4,5,3,5.3,75.3,0,1,0,0,6736.0
4.4,57794.0,Sedan,Hybrid,111.7,2837.0,36.0,11.87,80.9,19.3,31.9,4,4021.0,50.7,2,2,1.7,38.9,1,1,0,0,3362.0
2.6,35330.0,Sedan,Petrol,91.0,2621.0,66.3,12.65,88.8,71.7,33.0,3,1526.0,29.9,6,5,2.4,73.4,0,0,1,1,2956.0
2.7,18530.0,Sedan,Hybrid,94.8,2715.0,25.8,12.46,54.3,43.4,31.0,1,6488.0,78.5,6,1,7.9,63.4,1,0,0,0,3465.0
1.2,20972.0,SUV,Diesel,91.1,2354.0,56.0,12.76,87.0,48.8,29.8,1,1470.0,46.4,4,1,3.2,73.4,0,0,0,0,6084.0
4.2,47740.0,SUV,Hybrid,95.4,3163.0,47.1,11.61,46.4,17.7,29.4,4,7874.0,72.4,3,2,1.6,42.5,0,1,0,0,1736.0
1.8,24276.0,Sedan,Diesel,80.0,2375.0,17.1,12.73,67.1,37.5,33.2,2,5794.0,60.8,6,1,1.6,71.8,0,0,0,0,4679.0
3.4,36502.0,Sedan,Petrol,111.7,2072.0,21.2,12.59,29.8,53.2,26.3,2,12144.0,49.9,1,2,3.0,11.1,1,0,0,1,150.0
6.1,61725.0,Hatchback,Petrol,113.2,2784.0,47.7,12.22,84.9,31.6,32.6,5,3700.0,65.5,4,3,5.5,41.3,1,0,0,0,3503.0
1.0,5000.0,Sedan,Petrol,92.7,2694.0,20.5,12.7,20.1,21.6,28.8,1,15759.0,41.7,4,4,1.0,53.5,0,0,0,0,298.0
15.0,240071.0,Sedan,Electric,89.2,1798.0,24.0,11.25,100.0,24.2,28.0,20,7279.0,47.9,4,1,2.2,42.7,0,1,0,1,1906.0
2.3,28628.0,SUV,Hybrid,88.6,2435.0,61.9,11.83,100.0,55.4,35.7,4,405.0,44.6,1,0,4.4,63.7,0,0,0,0,4245.0
3.5,52071.0,Coupe,Diesel,87.3,2198.0,48.0,11.69,74.9,20.2,33.5,5,4138.0,49.2,3,2,3.7,62.0,0,1,0,0,4848.0
4.4,84193.0,Sedan,Petrol,93.4,2432.0,43.5,12.81,5.0,67.9,23.5,8,22569.0,59.7,6,6,4.1,17.1,1,1,1,1,150.0
2.2,32024.0,Truck,Petrol,95.1,2623.0,41.1,12.77,5.0,60.5,24.1,1,21429.0,59.6,2,4,1.8,20.6,1,0,0,1,326.0
2.8,30558.0,Truck,Hybrid,103.8,2009.0,40.2,12.93,62.5,62.9,31.9,2,5910.0,30.2,3,3,3.4,46.1,0,0,1,0,2951.0
6.9,71415.0,Sedan,Diesel,92.3,2206.0,27.7,12.21,52.7,48.5,25.7,6,7452.0,44.5,5,7,6.2,44.7,0,0,1,1,2123.0
5.7,81932.0,Truck,Petrol,88.0,2390.0,50.4,12.92,92.5,78.0,31.2,6,2156.0,46.9,2,0,2.3,67.1,0,0,0,0,2319.0
3.2,42700.0,SUV,Diesel,98.5,2556.0,60.5,13.42,76.5,79.8,31.5,3,2919.0,60.2,1,1,3.3,59.4,0,0,1,0,1692.0
3.7,65831.0,SUV,Petrol,93.8,2029.0,51.7,12.79,79.8,59.6,31.7,6,3672.0,32.4,8,6,1.0,65.5,0,0,0,0,4261.0
4.1,26978.0,SUV,Petrol,90.1,2191.0,62.6,12.58,69.4,51.1,34.3,2,3869.0,61.9,1,0,4.3,66.2,0,0,0,0,5230.0
5.2,97512.0,SUV,Diesel,111.9,2531.0,74.5,12.58,46.9,33.6,29.7,8,8377.0,36.2,4,4,1.9,30.9,1,0,0,1,1231.0
